Date d'élection,Type d'élection,Parlement,Province,Circonscription,Nom,Prénom,Sexe,Occupation,Parti,Votes,Votes (%),Élu(e)
1867-08-07,Gen,1,Nouveau-Brunswick,ALBERT,WALLACE,John,,agriculteur,Libéral,778,52.14,1
1867-08-07,Gen,1,Nouveau-Brunswick,ALBERT,STEVENS,Henry J.,,,Inconnu,714,47.86,0
1867-08-07,Gen,1,Nouveau-Brunswick,CARLETON,CONNELL,Hon. Charles,,marchand,Libéral,accl.,,1
1867-08-07,Gen,1,Nouveau-Brunswick,CHARLOTTE,BOLTON,John,,homme d'affaires,Libéral,1214,56.94,1
1867-08-07,Gen,1,Nouveau-Brunswick,CHARLOTTE,THOMPSON,Robert,,,Inconnu,918,43.06,0
1867-08-07,Gen,1,Nouveau-Brunswick,GLOUCESTER,ANGLIN,Hon. Timothy Warren,,rédacteur,Libéral,1061,61.26,1
1867-08-07,Gen,1,Nouveau-Brunswick,GLOUCESTER,MEHAN,John,,,Inconnu,671,38.74,0
1867-08-07,Gen,1,Nouveau-Brunswick,KENT,RENAUD,Auguste,,agriculteur,Libéral,876,41.28,1
1867-08-07,Gen,1,Nouveau-Brunswick,KENT,DES BRISAY,,,,Inconnu,757,35.67,0
1867-08-07,Gen,1,Nouveau-Brunswick,KENT,MCINERNAY,,,,Inconnu,485,22.86,0
1867-08-07,Gen,1,Nouveau-Brunswick,KENT,CUTLER,,,,Inconnu,4,0.19,0
1867-08-07,Gen,1,Nouveau-Brunswick,KING'S,RYAN,George,,agriculteur,Libéral,1303,54.61,1
1867-08-07,Gen,1,Nouveau-Brunswick,KING'S,OTTY,,,,Inconnu,1083,45.39,0
1867-08-07,Gen,1,Nouveau-Brunswick,NORTHUMBERLAND,JOHNSON,Hon. John M.,,avocat,Libéral,1226,61.83,1
1867-08-07,Gen,1,Nouveau-Brunswick,NORTHUMBERLAND,GILLESPIE,Thos.F.,,,Inconnu,757,38.17,0
1867-08-07,Gen,1,Nouveau-Brunswick,QUEEN'S,FARRIS,John,,marchand de bois,Libéral,accl.,,1
1867-08-07,Gen,1,Nouveau-Brunswick,RESTIGOUCHE,MCMILLAN,Hon. John,,marchand,Libéral,370,58.82,1
1867-08-07,Gen,1,Nouveau-Brunswick,RESTIGOUCHE,PHILLIPS,John,,,Inconnu,259,41.18,0
1867-08-07,Gen,1,Nouveau-Brunswick,SAINT-JEAN (CITÉ DE),TILLEY,Hon. Samuel Leonard,,pharmacien,Libéral-conservateur,1402,69.68,1
1867-08-07,Gen,1,Nouveau-Brunswick,SAINT-JEAN (CITÉ DE),WILSON,John,,,Inconnu,610,30.32,0
1867-08-07,Gen,1,Nouveau-Brunswick,SAINT-JEAN (CITÉ ET COMTÉ DE),GRAY,Hon. John H.,,avocat,Conservateur,accl.,,1
1867-08-07,Gen,1,Nouveau-Brunswick,SUNBURY,BURPEE,Charles,,agriculteur,Libéral,664,60.97,1
1867-08-07,Gen,1,Nouveau-Brunswick,SUNBURY,PERLEY,Wm. C.,,,Inconnu,425,39.03,0
1867-08-07,Gen,1,Nouveau-Brunswick,VICTORIA,COSTIGAN,John,,juge,Libéral-conservateur,778,57.93,1
1867-08-07,Gen,1,Nouveau-Brunswick,VICTORIA,BEVERIDGE,Wm. B.,,,Inconnu,549,40.88,0
1867-08-07,Gen,1,Nouveau-Brunswick,VICTORIA,WORKMAN,James,,,Inconnu,16,1.19,0
1867-08-07,Gen,1,Nouveau-Brunswick,VICTORIA,TIBBETTS,James,,,Inconnu,0,0,0
1867-08-07,Gen,1,Nouveau-Brunswick,WESTMORLAND,SMITH,Hon. Albert James,,avocat,Libéral,2207,82.94,1
1867-08-07,Gen,1,Nouveau-Brunswick,WESTMORLAND,LANDRY,J.J.D.,,,Inconnu,454,17.06,0
1867-08-07,Gen,1,Nouveau-Brunswick,YORK,FISHER,Hon. Charles,,avocat,Libéral,accl.,,1
1867-08-07,Gen,1,Nouvelle-Écosse,ANNAPOLIS,RAY,William H.,,agriculteur,Anti-Confederate,1171,53.54,1
1867-08-07,Gen,1,Nouvelle-Écosse,ANNAPOLIS,LONGLEY,,,marchand,Conservateur,1016,46.46,0
1867-08-07,Gen,1,Nouvelle-Écosse,ANTIGONISH,MCDONALD,Hugh,,avocat,Anti-Confederate,1238,76.04,1
1867-08-07,Gen,1,Nouvelle-Écosse,ANTIGONISH,HENRY,Wm. A.,,avocat,Conservateur,390,23.96,0
1867-08-07,Gen,1,Nouvelle-Écosse,CAP BRETON,MCKEAGNEY,Hon. James,,avocat,Anti-Confederate,accl.,,1
1867-08-07,Gen,1,Nouvelle-Écosse,COLCHESTER,MCLELLAN,Archibald Woodbury,,marchand de bois,Anti-Confederate,1649,56.13,1
1867-08-07,Gen,1,Nouvelle-Écosse,COLCHESTER,ARCHIBALD,Hon. A.G.,,avocat,Libéral-conservateur,1289,43.87,0
1867-08-07,Gen,1,Nouvelle-Écosse,CUMBERLAND,TUPPER,Hon. Charles,,médecin,Conservateur,1368,51.84,1
1867-08-07,Gen,1,Nouvelle-Écosse,CUMBERLAND,ANNAND,William,,,Anti-Confederate,1271,48.16,0
1867-08-07,Gen,1,Nouvelle-Écosse,DIGBY,SAVARY,Alfred W.,,avocat,Anti-Confederate,792,47.97,1
1867-08-07,Gen,1,Nouvelle-Écosse,DIGBY,WADE,,,,Inconnu,497,30.1,0
1867-08-07,Gen,1,Nouvelle-Écosse,DIGBY,MEHAN,,,,Inconnu,362,21.93,0
1867-08-07,Gen,1,Nouvelle-Écosse,GUYSBOROUGH,CAMPBELL,Stewart,,avocat,Anti-Confederate,accl.,,1
1867-08-07,Gen,1,Nouvelle-Écosse,HALIFAX,JONES,Alfred,,marchand,Anti-Confederate,2381,26.28,1
1867-08-07,Gen,1,Nouvelle-Écosse,HALIFAX,POWERS,Patrick,,marchand,Anti-Confederate,2367,26.13,1
1867-08-07,Gen,1,Nouvelle-Écosse,HALIFAX,TOBIN,John,,,Inconnu,2158,23.82,0
1867-08-07,Gen,1,Nouvelle-Écosse,HALIFAX,SHANNON,S.L.,,avocat,Inconnu,2154,23.77,0
1867-08-07,Gen,1,Nouvelle-Écosse,HANTS,HOWE,Hon. Joseph,,rédacteur,Anti-Confederate,1530,61.54,1
1867-08-07,Gen,1,Nouvelle-Écosse,HANTS,KING,Jas.,,,Inconnu,956,38.46,0
1867-08-07,Gen,1,Nouvelle-Écosse,INVERNESS,CAMERON,Hugh,,médecin,Anti-Confederate,1186,66.37,1
1867-08-07,Gen,1,Nouvelle-Écosse,INVERNESS,McDonnell,S.,,avocat,Conservateur,601,33.63,0
1867-08-07,Gen,1,Nouvelle-Écosse,KINGS,CHIPMAN,William Henry,,marchand,Anti-Confederate,1472,69.08,1
1867-08-07,Gen,1,Nouvelle-Écosse,KINGS,COLEMAN,,,,Inconnu,659,30.92,0
1867-08-07,Gen,1,Nouvelle-Écosse,LUNENBURG,MCDONALD,E.M.,,rédacteur,Anti-Confederate,1557,63.24,1
1867-08-07,Gen,1,Nouvelle-Écosse,LUNENBURG,KAULBACK,H.A.N.,,,Inconnu,905,36.76,0
1867-08-07,Gen,1,Nouvelle-Écosse,PICTOU,CARMICHAEL,James W.,,armateur,Anti-Confederate,2011,54.89,1
1867-08-07,Gen,1,Nouvelle-Écosse,PICTOU,MCDONALD,J.,,avocat,Conservateur,1653,45.11,0
1867-08-07,Gen,1,Nouvelle-Écosse,QUEENS,FORBES,James F.,,médecin,Anti-Confederate,844,75.7,1
1867-08-07,Gen,1,Nouvelle-Écosse,QUEENS,CAMPBELL,,,,Inconnu,271,24.3,0
1867-08-07,Gen,1,Nouvelle-Écosse,RICHMOND,CROKE,William Joseph,,avocat,Anti-Confederate,545,66.14,1
1867-08-07,Gen,1,Nouvelle-Écosse,RICHMOND,DONOVAN,,,,Inconnu,279,33.86,0
1867-08-07,Gen,1,Nouvelle-Écosse,SHELBURNE,COFFIN,Thomas,,marchand,Anti-Confederate,accl.,,1
1867-08-07,Gen,1,Nouvelle-Écosse,VICTORIA,ROSS,William,,marchant à la commission,Anti-Confederate,accl.,,1
1867-08-07,Gen,1,Nouvelle-Écosse,YARMOUTH,KILLAM,Hon. Thomas,,armateur,Anti-Confederate,1225,64.78,1
1867-08-07,Gen,1,Nouvelle-Écosse,YARMOUTH,BROWN,George S.,,,Inconnu,666,35.22,0
1867-08-07,Gen,1,Ontario,ADDINGTON,LAPUM,James N.,,maître de poste,Conservateur,1120,52.98,1
1867-08-07,Gen,1,Ontario,ADDINGTON,SHIBLEY,,,agriculteur,Libéral-conservateur,991,46.88,0
1867-08-07,Gen,1,Ontario,ADDINGTON,SMITH,Sir Henry,,,Inconnu,2,0.09,0
1867-08-07,Gen,1,Ontario,ADDINGTON,PRICE,,,,Inconnu,1,0.05,0
1867-08-07,Gen,1,Ontario,ADDINGTON,HAM,,,,Inconnu,0,0,0
1867-08-07,Gen,1,Ontario,ADDINGTON,LOTT,,,,Inconnu,0,0,0
1867-08-07,Gen,1,Ontario,ADDINGTON,CAMERON,D.,,,Inconnu,0,0,0
1867-08-07,Gen,1,Ontario,ALGOMA,SIMPSON,Wemyss Mackenzie,,commerçant,Conservateur,250,47.26,1
1867-08-07,Gen,1,Ontario,ALGOMA,BEATTY,,,,Inconnu,241,45.56,0
1867-08-07,Gen,1,Ontario,ALGOMA,MACDONELL,,,,Inconnu,38,7.18,0
1867-08-07,Gen,1,Ontario,BOTHWELL,MILLS,David,,avocat,Libéral,1333,52.13,1
1867-08-07,Gen,1,Ontario,BOTHWELL,GLASS,,,,Conservateur,1224,47.87,0
1867-08-07,Gen,1,Ontario,BRANT-NORD,BOWN,John Young,,médecin,Libéral-conservateur,672,50.07,1
